"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
759,8901012182185,"Clean & Clear Foaming Face Wash 100ml",128,143,"Jhonson and Jhonson Pvt Ltd",0,0
760,8901012182178,"Clean & Clear Foaming Face Wash 50gm",69,77,"Jhonson and Jhonson Pvt Ltd",0,0
761,8901012188026,"Clean & Clear Lemon face wash 50ml",82,92,"Jhonson and Jhonson Pvt Ltd",0,0
762,8901012188095,"Clean & Clear Morning Energy Face Wash Aplle 100ml",140,163,"Jhonson and Jhonson Pvt Ltd",0,0
763,8901012189115,"clean & clear Natural Bright Face Wash 100ml ",125,143,"Jhonson and Jhonson Pvt Ltd",0,0
764,8901012188033,"Clean Clear Morning Energy Face Wash lemon 50ml",146,163,"Jhonson and Jhonson Pvt Ltd",0,0
765,754604501172,"Cleaning Cold Berries, Rose & Milk  175ml",320,380,"Banijjo international",0,0
766,813903000585,"Cleanit Shinex 350 ml",48,53,"ACI Limited",0,0
767,813903000578,"Cleanit Shinex Glass And Window Cleaner 350ml",83,95,"ACI Limited",0,0
768,11708101756800,"Clear A.D complete active care shampoo 350ml",0,0,,0,0
769,8941100648421,"Clear A.D soft & shiny shampoo 350ml",273.17,310,Uniliver,0,0
770,8941100615447,"Clear Anti Dandruff Complete Active Care 180 ml",159.25,180,Uniliver,0,0
771,8941100615430,"Clear Anti Dandruff Complete Active Care 90 ml",83.5,95,Uniliver,0,0
