"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1112,8153003000422,"Aci Nutrilife Rice Bran Oil 5L","ACI Foods Ltd",Commodites,500,605,Commodites,0,6
1113,813163615109,"Aci Pure salt 1kg","ACI Foods Ltd",Commodites,34,38,Commodites,0,28
1114,846656008751,"Metro Rice Bran Oil 5 Litre","Pran Company Ltd",Commodites,540,600,Commodites,0,4
1115,8153003000354,"Aci Pure Atta 1kg","ACI Foods Ltd",Commodites,29,33,Commodites,0,9
1116,8007150900930,"Olitalia Fortified Sunflower Oil 5L","FAIR DISTRIBUTION LTD",Commodites,1110,1195,Commodites,0,2
1117,8691313010262,"Orkide Sunflowerr Oil 3 Litre","UNION CORPORATION",Commodites,660,750,Commodites,0,1
1118,8691313987649,"Orkide Sunflower Oil 5L","UNION CORPORATION",Commodites,1082,1230,Commodites,0,2
1119,8301100401035,"Fresh Atta 1kg","Meghna Group of Industries",Commodites,30,33,Commodites,0,23
1120,8410179013398,"Borges Sun Flower 5Litre","Q  Q TRADING LTD",Commodites,1125,1280,Commodites,0,4
1121,814396244050,"Teer Swmolina 500gm","Teer Oil LTD",Commodites,25,30,Commodites,0,2
1122,820466533108,"Teer Sugar 1kg",,Commodites,62,72,Commodites,0,10
1123,4808647010545,"Sajeeb Maida 1KG","SHAJEEB CORPORATION",Commodites,35,42,Commodites,0,14
1124,8301100501025,"Fresh Super Premium Salt 1Kg","Meghna Group of Industries",Commodites,29.55,40,Commodites,0,11
1125,8941100512104,"Chashi Chinigura Chal 1Kg","Square Food and Beverage Ltd",Commodites,95,110,Commodites,0,20
1126,846656001424,"Pran Mung Dal 500gm","Pran Company Ltd",Commodites,68,75,Commodites,0,10
1127,8017111289431,"Fresh Chinigura Rice 1kg","Meghna Group of Industries",Commodites,102,110,Commodites,0,10
1128,8941100512128,"Chashi Chinigura Chal 5kg","Square Food and Beverage Ltd",Commodites,480,510,Commodites,0,6
1129,831730004149,"Pran Chinigura Aromatic Rice Primium Quality 1KG","Pran Company Ltd",Commodites,92,110,Commodites,0,31
1130,8169003005572,"Aci Pure Premium Minikate Rice 10KG","ACI Limited",Commodites,620,665,Commodites,0,2
1131,8941100512111,"Chashi Chinigura Chal 2KG","Square Food and Beverage Ltd",Commodites,190,212,Commodites,0,12
1132,831730009038,"Pran Red Lentil 500gm","Pran Company Ltd",Commodites,50,65,Commodites,0,8
1133,880225150014,"Rupchanda Chinigura chal 1kg","Bangladesh Adibol Oil Ltd",Commodites,100,110,Commodites,0,8
1134,831730009250,"Pran Minicate Rice 5KG","Pran Company Ltd",Commodites,350,370,Commodites,0,4
